ENTREZID,ENSEMBL
17927,ENSMUSG00000009471
100952,ENSMUSG00000029163
20666,ENSMUSG00000063632
20324,ENSMUSG00000045954
27528,ENSMUSG00000042834
20257,ENSMUSG00000027500
20356,ENSMUSG00000022231
26968,ENSMUSG00000037206
17069,ENSMUSG00000022587
12834,ENSMUSG00000020241
76088,ENSMUSG00000052085
23892,ENSMUSG00000074934
16011,ENSMUSG00000026185
14264,ENSMUSG00000041559
18295,ENSMUSG00000021390
319944,ENSMUSG00000037343
18630,ENSMUSG00000035395
16956,ENSMUSG00000015568
12837,ENSMUSG00000068196
56047,ENSMUSG00000063011
11830,ENSMUSG00000044217
23893,ENSMUSG00000050069
12443,ENSMUSG00000070348
14677,ENSMUSG00000057614
209558,ENSMUSG00000019989
16997,ENSMUSG00000002020
112407,ENSMUSG00000035105
17112,ENSMUSG00000027800
68537,ENSMUSG00000022370
15213,ENSMUSG00000040289
170439,ENSMUSG00000041220
26879,ENSMUSG00000043300
12349,ENSMUSG00000027562
17390,ENSMUSG00000031740
53945,ENSMUSG00000025993
17388,ENSMUSG00000031790
54324,ENSMUSG00000033542
13371,ENSMUSG00000007682
20361,ENSMUSG00000038264
225207,ENSMUSG00000024420
13393,ENSMUSG00000001510
105837,ENSMUSG00000022369
16373,ENSMUSG00000031734
14062,ENSMUSG00000048376
100043314,ENSMUSG00000071552
100515,ENSMUSG00000046572
208076,ENSMUSG00000035934
17877,ENSMUSG00000000435
16777,ENSMUSG00000002900
666048,ENSMUSG00000070867
17132,ENSMUSG00000055435
381413,ENSMUSG00000040133
75577,ENSMUSG00000024512
213417,ENSMUSG00000042115
66695,ENSMUSG00000021388
239691,ENSMUSG00000051669
434128,ENSMUSG00000070802
54635,ENSMUSG00000028019
260299,ENSMUSG00000054793
226999,ENSMUSG00000026062
16597,ENSMUSG00000072294
24066,ENSMUSG00000024427
13346,ENSMUSG00000026208
114886,ENSMUSG00000020810
20349,ENSMUSG00000063531
21824,ENSMUSG00000074743
16010,ENSMUSG00000017493
111241,ENSMUSG00000078249
26422,ENSMUSG00000027799
63955,ENSMUSG00000040957
107765,ENSMUSG00000024803
16177,ENSMUSG00000026072
14313,ENSMUSG00000021765
17313,ENSMUSG00000030218
382571,ENSMUSG00000051726
66643,ENSMUSG00000047786
76142,ENSMUSG00000040653
229706,ENSMUSG00000027894
70549,ENSMUSG00000052698
21955,ENSMUSG00000064179
29813,ENSMUSG00000000552
74127,ENSMUSG00000037185
69540,ENSMUSG00000030693
246707,ENSMUSG00000024053
192734,ENSMUSG00000046807
100503043,ENSMUSG00000049804
66222,ENSMUSG00000044734
78785,ENSMUSG00000024059
16560,ENSMUSG00000014602
97998,ENSMUSG00000022419
223631,ENSMUSG00000047728
14051,ENSMUSG00000010461
20720,ENSMUSG00000026249
77619,ENSMUSG00000056671
80976,ENSMUSG00000027220
69480,ENSMUSG00000042734
68792,ENSMUSG00000031253
50708,ENSMUSG00000036181
13506,ENSMUSG00000024331
381217,ENSMUSG00000071604
243385,ENSMUSG00000045441
207521,ENSMUSG00000039982
14190,ENSMUSG00000039899
319520,ENSMUSG00000031530
21808,ENSMUSG00000039239
235505,ENSMUSG00000046186
208777,ENSMUSG00000047793
106042,ENSMUSG00000036158
20955,ENSMUSG00000051412
20583,ENSMUSG00000022676
229801,ENSMUSG00000044528
211389,ENSMUSG00000049858
14066,ENSMUSG00000028128
73720,ENSMUSG00000024846
329154,ENSMUSG00000052331
19221,ENSMUSG00000027864
50799,ENSMUSG00000015112
494504,ENSMUSG00000071847
22776,ENSMUSG00000002266
215351,ENSMUSG00000034252
27226,ENSMUSG00000023913
14064,ENSMUSG00000021675
23876,ENSMUSG00000021186
72107,ENSMUSG00000022422
16664,ENSMUSG00000045545
14155,ENSMUSG00000032244
71306,ENSMUSG00000031647
16164,ENSMUSG00000017057
240913,ENSMUSG00000006403
12904,ENSMUSG00000004885
16210,ENSMUSG00000024423
19876,ENSMUSG00000022883
14067,ENSMUSG00000026579
73390,ENSMUSG00000047669
58235,ENSMUSG00000032012
16190,ENSMUSG00000030748
11835,ENSMUSG00000046532
380732,ENSMUSG00000040528
20667,ENSMUSG00000051817
13992,ENSMUSG00000022332
20306,ENSMUSG00000035373
67603,ENSMUSG00000019960
107607,ENSMUSG00000038058
19249,ENSMUSG00000034573
16772,ENSMUSG00000032796
26388,ENSMUSG00000026535
66082,ENSMUSG00000025277
15245,ENSMUSG00000064325
215378,ENSMUSG00000035131
239083,ENSMUSG00000071470
23967,ENSMUSG00000048387
19293,ENSMUSG00000005716
83964,ENSMUSG00000031990
227358,ENSMUSG00000047443
16468,ENSMUSG00000038518
16470,ENSMUSG00000045288
56248,ENSMUSG00000024782
14283,ENSMUSG00000024912
20250,ENSMUSG00000025203
18073,ENSMUSG00000005397
22350,ENSMUSG00000052397
107094,ENSMUSG00000035049
11602,ENSMUSG00000027460
232431,ENSMUSG00000046733
71934,ENSMUSG00000027555
328232,ENSMUSG00000051335
12826,ENSMUSG00000031502
75785,ENSMUSG00000062901
67847,ENSMUSG00000024534
243743,ENSMUSG00000029765
22427,ENSMUSG00000031583
12519,ENSMUSG00000075122
240028,ENSMUSG00000023845
18951,ENSMUSG00000072214
240672,ENSMUSG00000034765
17357,ENSMUSG00000047945
12319,ENSMUSG00000041261
106952,ENSMUSG00000024451
18049,ENSMUSG00000027859
269855,ENSMUSG00000035279
70701,ENSMUSG00000067219
16949,ENSMUSG00000032334
14635,ENSMUSG00000020766
231440,ENSMUSG00000034981
11839,ENSMUSG00000029378
330695,ENSMUSG00000048644
13637,ENSMUSG00000003070
72709,ENSMUSG00000022440
13448,ENSMUSG00000068335
54371,ENSMUSG00000033350
68797,ENSMUSG00000031595
225288,ENSMUSG00000034295
245622,ENSMUSG00000042595
66573,ENSMUSG00000042156
71713,ENSMUSG00000038446
19275,ENSMUSG00000026204
11857,ENSMUSG00000030220
20443,ENSMUSG00000032038
15117,ENSMUSG00000022367
57435,ENSMUSG00000002831
17988,ENSMUSG00000005125
56496,ENSMUSG00000067377
238130,ENSMUSG00000035954
353211,ENSMUSG00000039126
77220,ENSMUSG00000049420
13688,ENSMUSG00000020091
13838,ENSMUSG00000026235
13732,ENSMUSG00000040212
20411,ENSMUSG00000025006
100340,ENSMUSG00000028885
65086,ENSMUSG00000036832
319581,ENSMUSG00000039814
223780,ENSMUSG00000054136
12404,ENSMUSG00000031654
11550,ENSMUSG00000027335
57440,ENSMUSG00000024065
70097,ENSMUSG00000015305
67115,ENSMUSG00000025794
15200,ENSMUSG00000024486
229949,ENSMUSG00000039058
226470,ENSMUSG00000033964
192656,ENSMUSG00000041135
11622,ENSMUSG00000019256
207792,ENSMUSG00000033722
239559,ENSMUSG00000047878
19272,ENSMUSG00000019889
18553,ENSMUSG00000030513
67393,ENSMUSG00000046668
21356,ENSMUSG00000024308
93737,ENSMUSG00000056214
64602,ENSMUSG00000032293
56807,ENSMUSG00000040722
14957,ENSMUSG00000052565
100503759,ENSMUSG00000050765
240427,ENSMUSG00000024548
192289,ENSMUSG00000079834
59091,ENSMUSG00000017817
434130,ENSMUSG00000041117
268970,ENSMUSG00000024043
16948,ENSMUSG00000024529
78798,ENSMUSG00000032624
69908,ENSMUSG00000003411
53415,ENSMUSG00000039745
215798,ENSMUSG00000039116
27056,ENSMUSG00000029771
52004,ENSMUSG00000024856
18491,ENSMUSG00000028370
78255,ENSMUSG00000026594
98376,ENSMUSG00000040124
18793,ENSMUSG00000046223
667742,ENSMUSG00000041482
83675,ENSMUSG00000014329
102644,ENSMUSG00000032014
65972,ENSMUSG00000031838
21987,ENSMUSG00000000296
75747,ENSMUSG00000032009
14102,ENSMUSG00000024778
110454,ENSMUSG00000075602
386463,ENSMUSG00000039518
56349,ENSMUSG00000021215
16579,ENSMUSG00000026585
68024,ENSMUSG00000018102
94352,ENSMUSG00000034205
50766,ENSMUSG00000024074
21956,ENSMUSG00000026414
103806,ENSMUSG00000050567
12224,ENSMUSG00000005148
22388,ENSMUSG00000005103
224792,ENSMUSG00000056492
68799,ENSMUSG00000048027
56847,ENSMUSG00000015134
18196,ENSMUSG00000029126
19012,ENSMUSG00000021759
12818,ENSMUSG00000022371
432763,ENSMUSG00000034686
15364,ENSMUSG00000056758
225341,ENSMUSG00000024395
14208,ENSMUSG00000029147
78560,ENSMUSG00000031486
16782,ENSMUSG00000026479
12490,ENSMUSG00000016494
17285,ENSMUSG00000001493
18018,ENSMUSG00000033016
69146,ENSMUSG00000022575
241327,ENSMUSG00000046618
13848,ENSMUSG00000029869
381485,ENSMUSG00000060913
108156,ENSMUSG00000021048
13479,ENSMUSG00000019278
67581,ENSMUSG00000022749
227120,ENSMUSG00000038349
11474,ENSMUSG00000006457
14528,ENSMUSG00000037580
67951,ENSMUSG00000001473
67488,ENSMUSG00000023055
18536,ENSMUSG00000031592
108800,ENSMUSG00000020961
52840,ENSMUSG00000017734
77519,ENSMUSG00000060510
70423,ENSMUSG00000037031
15926,ENSMUSG00000025950
380959,ENSMUSG00000075470
76156,ENSMUSG00000029861
17184,ENSMUSG00000037236
17748,ENSMUSG00000031765
67155,ENSMUSG00000024921
319480,ENSMUSG00000032243
18164,ENSMUSG00000025582
15357,ENSMUSG00000021670
14048,ENSMUSG00000025932
53867,ENSMUSG00000004098
20750,ENSMUSG00000029304
67841,ENSMUSG00000022663
17101,ENSMUSG00000019726
22215,ENSMUSG00000025326
102657,ENSMUSG00000035914
100102,ENSMUSG00000044254
319277,ENSMUSG00000034560
211347,ENSMUSG00000018846
239102,ENSMUSG00000040721
68278,ENSMUSG00000005481
108037,ENSMUSG00000025403
14573,ENSMUSG00000022144
18704,ENSMUSG00000030660
56458,ENSMUSG00000044167
12552,ENSMUSG00000031673
17122,ENSMUSG00000037235
104943,ENSMUSG00000036136
20516,ENSMUSG00000037656
208650,ENSMUSG00000022637
223649,ENSMUSG00000075590
64138,ENSMUSG00000016256
117606,ENSMUSG00000022687
237052,ENSMUSG00000049536
75590,ENSMUSG00000031383
245522,ENSMUSG00000035062
78339,ENSMUSG00000036565
79362,ENSMUSG00000030256
67958,ENSMUSG00000032407
18591,ENSMUSG00000000489
105855,ENSMUSG00000022488
16779,ENSMUSG00000052911
77480,ENSMUSG00000036333
16562,ENSMUSG00000020821
17755,ENSMUSG00000052727
240055,ENSMUSG00000034413
239447,ENSMUSG00000038591
242202,ENSMUSG00000053965
18711,ENSMUSG00000025949
12140,ENSMUSG00000019874
105827,ENSMUSG00000048218
83946,ENSMUSG00000032253
69325,ENSMUSG00000031927
236643,ENSMUSG00000054453
17076,ENSMUSG00000026980
19736,ENSMUSG00000038530
71228,ENSMUSG00000021782
235567,ENSMUSG00000032560
67017,ENSMUSG00000027495
67102,ENSMUSG00000022864
11754,ENSMUSG00000019326
20249,ENSMUSG00000037071
21752,ENSMUSG00000021611
11565,ENSMUSG00000011148
20723,ENSMUSG00000045827
71175,ENSMUSG00000022141
20822,ENSMUSG00000018199
237360,ENSMUSG00000059901
225870,ENSMUSG00000024883
240725,ENSMUSG00000016918
66262,ENSMUSG00000026283
213391,ENSMUSG00000042129
26430,ENSMUSG00000021911
94187,ENSMUSG00000045333
93892,ENSMUSG00000044022
69219,ENSMUSG00000028194
18130,ENSMUSG00000035161
18767,ENSMUSG00000027499
22329,ENSMUSG00000027962
233789,ENSMUSG00000030655
15170,ENSMUSG00000004266
70021,ENSMUSG00000071547
223775,ENSMUSG00000035828
72960,ENSMUSG00000000934
11717,ENSMUSG00000005686
54132,ENSMUSG00000055044
16476,ENSMUSG00000052684
13345,ENSMUSG00000007805
22750,ENSMUSG00000072623
319758,ENSMUSG00000037674
207683,ENSMUSG00000022790
269023,ENSMUSG00000052713
216850,ENSMUSG00000018476
69538,ENSMUSG00000033420
76199,ENSMUSG00000018076
114249,ENSMUSG00000040998
18569,ENSMUSG00000024975
319477,ENSMUSG00000066607
59079,ENSMUSG00000021709
22409,ENSMUSG00000026167
12365,ENSMUSG00000005355
64339,ENSMUSG00000038552
18162,ENSMUSG00000022206
105203,ENSMUSG00000033799
13809,ENSMUSG00000028024
54519,ENSMUSG00000026786
20775,ENSMUSG00000022351
229055,ENSMUSG00000069114
12339,ENSMUSG00000021893
72567,ENSMUSG00000037608
67731,ENSMUSG00000022358
12227,ENSMUSG00000020423
229841,ENSMUSG00000045328
83397,ENSMUSG00000038587
18194,ENSMUSG00000031349
11658,ENSMUSG00000022636
329504,ENSMUSG00000074890
234857,ENSMUSG00000010154
58178,ENSMUSG00000043531
13008,ENSMUSG00000020186
16526,ENSMUSG00000037624
16007,ENSMUSG00000028195
243771,ENSMUSG00000038507
18131,ENSMUSG00000038146
67164,ENSMUSG00000030725
277154,ENSMUSG00000075592
208898,ENSMUSG00000062151
17216,ENSMUSG00000002870
83770,ENSMUSG00000028738
69065,ENSMUSG00000027313
116847,ENSMUSG00000041577
320982,ENSMUSG00000049866
14726,ENSMUSG00000028583
100087,ENSMUSG00000073775
224111,ENSMUSG00000053774
18104,ENSMUSG00000003849
24059,ENSMUSG00000032548
93887,ENSMUSG00000047910
22441,ENSMUSG00000054626
68203,ENSMUSG00000047842
380912,ENSMUSG00000034522
26877,ENSMUSG00000034780
105445,ENSMUSG00000025558
81799,ENSMUSG00000058914
226610,ENSMUSG00000060568
12616,ENSMUSG00000068267
102436,ENSMUSG00000035202
226841,ENSMUSG00000037568
109205,ENSMUSG00000038248
105348,ENSMUSG00000021556
12705,ENSMUSG00000051159
77864,ENSMUSG00000018427
96875,ENSMUSG00000006014
15234,ENSMUSG00000028864
235469,ENSMUSG00000038535
22410,ENSMUSG00000022996
224585,ENSMUSG00000067942
18830,ENSMUSG00000017754
